event_name,timestamp,parameters
null,0,{}
deposit_collateral,1,"{""deposit_amount"": 10000000000000, ""user_index"": 0}"
deposit_collateral,2,"{""deposit_amount"": 10000000000000, ""user_index"": 1}"
null,3,{}
open_position,3,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,4,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 176, ""user_index"": 0}"
open_position,4,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,5,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 323, ""user_index"": 0}"
open_position,5,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
null,6,{}
open_position,6,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
null,7,{}
open_position,7,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
null,8,{}
open_position,8,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,9,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 205, ""user_index"": 0}"
open_position,9,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,10,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 382, ""user_index"": 0}"
open_position,10,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,11,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 235, ""user_index"": 0}"
open_position,11,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
null,12,{}
open_position,12,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
null,13,{}
open_position,13,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
null,14,{}
open_position,14,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,15,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 656437293387, ""user_index"": 0}"
open_position,15,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,16,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 261914790786, ""user_index"": 0}"
open_position,16,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,17,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 103901533602, ""user_index"": 0}"
open_position,17,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,18,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 40893523512, ""user_index"": 0}"
open_position,18,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,19,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 15736728281, ""user_index"": 0}"
open_position,19,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,20,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 5687403523, ""user_index"": 0}"
open_position,20,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,21,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 2873020208, ""user_index"": 0}"
open_position,21,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,22,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1908240286213, ""user_index"": 0}"
open_position,22,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,23,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 773297974256, ""user_index"": 0}"
open_position,23,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,24,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 311649961747, ""user_index"": 0}"
open_position,24,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,25,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 124416824536, ""user_index"": 0}"
open_position,25,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,26,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 50452814446, ""user_index"": 0}"
open_position,26,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,27,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 20806904106, ""user_index"": 0}"
open_position,27,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,28,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 8931686991, ""user_index"": 0}"
open_position,28,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,29,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 2976848651, ""user_index"": 0}"
open_position,29,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,30,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 592354240, ""user_index"": 0}"
open_position,30,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,31,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 2755542741540, ""user_index"": 0}"
open_position,31,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,32,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1122629851064, ""user_index"": 0}"
open_position,32,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,33,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 19556036354, ""user_index"": 0}"
open_position,33,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,34,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1892871816824, ""user_index"": 0}"
open_position,34,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,35,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 748386916883, ""user_index"": 0}"
open_position,35,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,36,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 297111849352, ""user_index"": 0}"
open_position,36,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,37,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 119115378525, ""user_index"": 0}"
open_position,37,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,38,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 48165117044, ""user_index"": 0}"
open_position,38,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,39,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 19841697234, ""user_index"": 0}"
open_position,39,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,40,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 7327374204, ""user_index"": 0}"
open_position,40,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,41,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1316911138352, ""user_index"": 0}"
open_position,41,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,42,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 521550891377, ""user_index"": 0}"
open_position,42,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,43,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 208373277040, ""user_index"": 0}"
open_position,43,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,44,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 83764625249, ""user_index"": 0}"
open_position,44,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,45,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 34056376448, ""user_index"": 0}"
open_position,45,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,46,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 13005759668, ""user_index"": 0}"
open_position,46,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,47,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 4596287650, ""user_index"": 0}"
open_position,47,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,48,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1236221715, ""user_index"": 0}"
open_position,48,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,49,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1094393266, ""user_index"": 0}"
open_position,49,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,50,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 2628795158594, ""user_index"": 0}"
open_position,50,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,51,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1069957034900, ""user_index"": 0}"
open_position,51,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,52,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 431801188889, ""user_index"": 0}"
open_position,52,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,53,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 172749664449, ""user_index"": 0}"
open_position,53,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,54,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 68642549603, ""user_index"": 0}"
open_position,54,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,55,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 26896491586, ""user_index"": 0}"
open_position,55,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,56,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 11370685653, ""user_index"": 0}"
open_position,56,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,57,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 5152721978, ""user_index"": 0}"
open_position,57,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,58,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1463620814, ""user_index"": 0}"
open_position,58,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,59,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 6295469735012, ""user_index"": 0}"
open_position,59,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,60,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 2626331870439, ""user_index"": 0}"
open_position,60,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,61,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1070653377188, ""user_index"": 0}"
open_position,61,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,62,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 432370732485, ""user_index"": 0}"
open_position,62,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,63,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1166340790641, ""user_index"": 0}"
open_position,63,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,64,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 470122320493, ""user_index"": 0}"
open_position,64,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,65,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 189440898627, ""user_index"": 0}"
open_position,65,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,66,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 75351152854, ""user_index"": 0}"
open_position,66,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,67,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 4473837593317, ""user_index"": 0}"
open_position,67,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,68,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1850345171523, ""user_index"": 0}"
open_position,68,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,69,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1647982379267, ""user_index"": 0}"
open_position,69,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,70,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 667381673369, ""user_index"": 0}"
open_position,70,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,71,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 269154662713, ""user_index"": 0}"
open_position,71,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,72,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 107388038694, ""user_index"": 0}"
open_position,72,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,73,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 43632247938, ""user_index"": 0}"
open_position,73,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,74,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 18075598744, ""user_index"": 0}"
open_position,74,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,75,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 6638882059, ""user_index"": 0}"
open_position,75,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,76,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 2058751266, ""user_index"": 0}"
open_position,76,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,77,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 768496855782, ""user_index"": 0}"
open_position,77,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
