event_name,timestamp,parameters
null,0,{}
deposit_collateral,1,"{""deposit_amount"": 10000000000000, ""user_index"": 0}"
deposit_collateral,2,"{""deposit_amount"": 10000000000000, ""user_index"": 1}"
null,3,{}
open_position,3,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
null,4,{}
open_position,4,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
null,5,{}
open_position,5,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
null,6,{}
open_position,6,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
null,7,{}
open_position,7,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
null,8,{}
open_position,8,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
null,9,{}
open_position,9,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
null,10,{}
open_position,10,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
null,11,{}
open_position,11,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
null,12,{}
open_position,12,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
null,13,{}
open_position,13,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
null,14,{}
open_position,14,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,15,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 655854624937, ""user_index"": 0}"
open_position,15,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,16,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 261660849326, ""user_index"": 0}"
open_position,16,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,17,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 103791182177, ""user_index"": 0}"
open_position,17,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,18,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 40845814505, ""user_index"": 0}"
open_position,18,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,19,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 16917186121, ""user_index"": 0}"
open_position,19,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,20,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 6158396815, ""user_index"": 0}"
open_position,20,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,21,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1860150248, ""user_index"": 0}"
open_position,21,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,22,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1902636095951, ""user_index"": 0}"
open_position,22,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,23,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 771070352322, ""user_index"": 0}"
open_position,23,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,24,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 310776853553, ""user_index"": 0}"
open_position,24,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,25,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 125275141406, ""user_index"": 0}"
open_position,25,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,26,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 50801345965, ""user_index"": 0}"
open_position,26,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,27,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 20948283315, ""user_index"": 0}"
open_position,27,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,28,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 7789934786, ""user_index"": 0}"
open_position,28,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,29,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 3719060491, ""user_index"": 0}"
open_position,29,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,30,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 889713880, ""user_index"": 0}"
open_position,30,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,31,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 2754432877741, ""user_index"": 0}"
open_position,31,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,32,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1122267445156, ""user_index"": 0}"
open_position,32,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,33,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 12764355117, ""user_index"": 0}"
open_position,33,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,34,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1888945462264, ""user_index"": 0}"
open_position,34,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,35,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 746787918178, ""user_index"": 0}"
open_position,35,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,36,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 297655410241, ""user_index"": 0}"
open_position,36,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,37,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 119321439142, ""user_index"": 0}"
open_position,37,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,38,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 48243202387, ""user_index"": 0}"
open_position,38,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,39,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 18670227798, ""user_index"": 0}"
open_position,39,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,40,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 8059597243, ""user_index"": 0}"
open_position,40,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,41,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1318436960319, ""user_index"": 0}"
open_position,41,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,42,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 522105095588, ""user_index"": 0}"
open_position,42,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,43,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 207372897943, ""user_index"": 0}"
open_position,43,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,44,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 82157206728, ""user_index"": 0}"
open_position,44,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,45,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 32210746637, ""user_index"": 0}"
open_position,45,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,46,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 12267373333, ""user_index"": 0}"
open_position,46,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,47,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 4300809422, ""user_index"": 0}"
open_position,47,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,48,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 2318851349, ""user_index"": 0}"
open_position,48,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,49,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1526958250, ""user_index"": 0}"
open_position,49,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,50,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 2623901714988, ""user_index"": 0}"
open_position,50,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,51,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1068027823155, ""user_index"": 0}"
open_position,51,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,52,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 431056136077, ""user_index"": 0}"
open_position,52,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,53,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 172464916306, ""user_index"": 0}"
open_position,53,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,54,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 68534371229, ""user_index"": 0}"
open_position,54,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,55,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 26855575516, ""user_index"": 0}"
open_position,55,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,56,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 10156147628, ""user_index"": 0}"
open_position,56,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,57,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 3467577853, ""user_index"": 0}"
open_position,57,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,58,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 789007738, ""user_index"": 0}"
open_position,58,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,59,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 6295098896910, ""user_index"": 0}"
open_position,59,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,60,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 2626394711295, ""user_index"": 0}"
open_position,60,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,61,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1069580987986, ""user_index"": 0}"
open_position,61,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,62,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 431972697505, ""user_index"": 0}"
open_position,62,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,63,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1164989660952, ""user_index"": 0}"
open_position,63,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,64,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 469613676308, ""user_index"": 0}"
open_position,64,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,65,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 189252356043, ""user_index"": 0}"
open_position,65,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,66,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 75282128723, ""user_index"": 0}"
open_position,66,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,67,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 4473735681337, ""user_index"": 0}"
open_position,67,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,68,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1850460142085, ""user_index"": 0}"
open_position,68,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,69,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1649263776721, ""user_index"": 0}"
open_position,69,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,70,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 667965398840, ""user_index"": 0}"
open_position,70,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,71,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 269414117365, ""user_index"": 0}"
open_position,71,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,72,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 108700020684, ""user_index"": 0}"
open_position,72,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,73,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 44162187383, ""user_index"": 0}"
open_position,73,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,74,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 18289436802, ""user_index"": 0}"
open_position,74,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,75,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 6725201470, ""user_index"": 0}"
open_position,75,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,76,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 3292694629, ""user_index"": 0}"
open_position,76,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,77,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 768975423998, ""user_index"": 0}"
open_position,77,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,78,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 309125219825, ""user_index"": 0}"
open_position,78,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,79,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 123476610625, ""user_index"": 0}"
open_position,79,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
